V(V),I(A),I uncertainty (A),,,,,,,,,0-1.6
0.010,0.02615,0.00003,0.02617,0.02617,0.02611,,,,,,
0.031,0.02211,0.00004,0.02209,0.02216,0.02209,,,,,,
0.050,0.01888,0.00011,0.01877,0.01888,0.01898,,,,,,
0.066,0.01688,0.00013,0.01677,0.01702,0.01685,,,,,,
0.070,0.01636,0.00009,0.01626,0.01642,0.01641,,,,,,
0.087,0.01476,0.00021,0.01488,0.01451,0.01488,,,,,,
0.107,0.01295,0.00015,0.01282,0.01312,0.01291,,,,,,
0.118,0.01215,0.00004,0.01214,0.01219,0.01212,,,,,,
0.140,0.01082,0.00009,0.01076,0.01093,0.01078,,,,,,
0.152,0.01018,0.00009,0.01026,0.01019,0.01009,,,,,,
0.173,0.00924,0.00005,0.00922,0.00929,0.00920,,,,,,
0.197,0.00838,0.00010,0.00844,0.00827,0.00844,,,,,,
0.226,0.00737,0.00008,0.00738,0.00745,0.00729,,,,,,
0.248,0.00677,0.00006,0.00673,0.00674,0.00683,,,,,,
0.269,0.00623,0.00003,0.00626,0.00622,0.00621,,,,,,
0.296,0.00561,0.00010,0.00568,0.00550,0.00566,,,,,,
0.327,0.00491,0.00008,0.00484,0.00499,0.00489,,,,,,
0.343,0.00463,0.00006,0.00456,0.00467,0.00466,,,,,,
0.361,0.00428,0.00011,0.00418,0.00439,0.00426,,,,,,
0.381,0.00401,0.00009,0.00407,0.00405,0.00391,,,,,,
0.404,0.00356,0.00005,0.00356,0.00361,0.00352,,,,,,
0.426,0.00320,0.00005,0.00326,0.00317,0.00318,,,,,,
0.439,0.00303,0.00003,0.00302,0.00306,0.00301,,,,,,
0.460,0.00269,0.00007,0.00275,0.00262,0.00271,,,,,,
0.478,0.00245,0.00003,0.00246,0.00242,0.00248,,,,,,
0.513,0.00198,0.00007,0.00203,0.00201,0.00190,,,,,,
0.545,0.00159,0.00011,0.00169,0.00148,0.00161,,,,,,
0.563,0.00132,0.00003,0.00130,0.00132,0.00135,,,,,,
0.585,0.00112,0.00007,0.00106,0.00120,0.00109,,,,,,
0.618,0.00084,0.00012,0.00088,0.00070,0.00094,,,,,,
0.638,0.00062,0.00005,0.00059,0.00059,0.00067,,,,,,
0.655,0.00047,0.00019,0.00040,0.00068,0.00033,,,,,,
0.672,0.00031,0.00020,0.00022,0.00054,0.00018,,,,,,
0.703,0.00018,0.00013,0.00018,0.00006,0.00031,,,,,,
0.731,0.00003,0.00014,0.00007,-0.00013,0.00015,,,,,,
0.754,-0.00006,0.00020,0.00000,-0.00028,0.00010,,,,,,
0.777,-0.00031,0.00021,-0.00042,-0.00007,-0.00045,,,,,,
0.797,-0.00034,0.00009,-0.00023,-0.00041,-0.00037,,,,,,
0.822,-0.00039,0.00010,-0.00031,-0.00051,-0.00036,,,,,,
0.835,-0.00049,0.00009,-0.00039,-0.00054,-0.00054,,,,,,
0.869,-0.00061,0.00005,-0.00066,-0.00059,-0.00057,,,,,,
0.924,-0.00077,0.00005,-0.00072,-0.00079,-0.00081,,,,,,
0.962,-0.00088,0.00007,-0.00083,-0.00084,-0.00096,,,,,,
0.990,-0.00092,0.00004,-0.00094,-0.00095,-0.00088,,,,,,
1.022,-0.00104,0.00005,-0.00108,-0.00106,-0.00098,,,,,,
1.085,-0.00115,0.00009,-0.00122,-0.00105,-0.00119,,,,,,
1.134,-0.00121,0.00015,-0.00131,-0.00103,-0.00128,,,,,,
1.198,-0.00122,0.00005,-0.00124,-0.00126,-0.00116,,,,,,
1.267,-0.00131,0.00010,-0.00138,-0.00136,-0.00119,,,,,,
1.327,-0.00135,0.00011,-0.00125,-0.00146,-0.00134,,,,,,
1.372,-0.00140,0.00009,-0.00142,-0.00131,-0.00148,,,,,,
1.428,-0.00140,0.00009,-0.00131,-0.00149,-0.00139,,,,,,